step,time_s,com_height_m,com_velocity_mps,torso_pitch_deg,left_hip_deg,right_hip_deg,left_knee_deg,right_knee_deg,left_foot_contact,right_foot_contact,gait_risk,stability_state
0.0,0.0,1.02,0.7,1.0,12.0,-10.0,28.0,24.0,1.0,0.0,0.0342,stable
1.0,0.05,1.03,0.72,1.5,10.5,-8.6,29.5,25.0,1.0,0.0,0.1043,stable
2.0,0.1,1.04,0.74,2.1,8.8,-6.4,31.0,26.2,1.0,0.0,0.1151,stable
3.0,0.15,1.03,0.76,2.8,6.0,-3.5,32.0,27.6,0.0,1.0,0.0641,stable
4.0,0.2,1.01,0.78,3.4,3.2,-1.0,31.5,29.0,0.0,1.0,0.1246,stable
5.0,0.25,0.99,0.82,5.1,0.5,2.8,30.0,31.0,0.0,1.0,0.144,stable
6.0,0.3,0.96,0.88,7.6,-2.4,6.2,27.5,33.5,0.0,1.0,0.2062,stable
7.0,0.35,0.92,0.96,10.8,-5.8,9.0,25.0,36.0,0.0,1.0,0.3441,stable
8.0,0.4,0.89,1.05,13.4,-8.4,12.0,22.0,39.5,1.0,0.0,0.4317,unstable
9.0,0.45,0.86,1.1,16.5,-11.6,14.4,20.0,42.0,1.0,0.0,0.6217,unstable
10.0,0.5,0.84,1.18,18.2,-14.0,16.5,18.5,44.2,1.0,0.0,0.7246,fall_warning
11.0,0.55,0.88,1.0,12.1,-10.2,11.2,23.4,38.0,1.0,0.0,0.4516,unstable
12.0,0.6,0.93,0.86,6.5,-4.0,5.5,27.0,33.0,0.0,1.0,0.1563,stable
13.0,0.65,0.98,0.78,3.2,1.4,1.2,30.5,30.1,0.0,1.0,0.1116,stable
14.0,0.7,1.01,0.73,1.4,5.2,-3.8,31.2,27.0,0.0,1.0,0.1014,stable
15.0,0.75,1.03,0.71,0.9,9.1,-7.5,29.0,25.5,1.0,0.0,0.0303,stable
16.0,0.8,1.04,0.7,0.7,12.0,-10.2,27.0,24.0,1.0,0.0,0.0849,stable
17.0,0.85,1.03,0.72,1.2,10.6,-8.3,29.1,25.6,1.0,0.0,0.095,stable
18.0,0.9,1.01,0.77,2.7,7.5,-4.4,31.4,27.4,0.0,1.0,0.0607,stable
19.0,0.95,0.97,0.86,6.9,2.0,4.6,29.8,32.8,0.0,1.0,0.1813,stable
20.0,1.0,0.91,1.02,12.8,-5.0,10.6,24.2,38.9,0.0,1.0,0.4301,unstable
21.0,1.05,0.85,1.2,19.4,-12.5,17.4,18.0,45.0,1.0,0.0,0.6838,fall_warning
