profile,time_s,position_m,speed_mps
eco speed advisor,0.0,0.0,15.135
eco speed advisor,1.0,15.135,15.135
eco speed advisor,2.0,30.27,15.135
eco speed advisor,3.0,45.405,15.135
eco speed advisor,4.0,60.541,15.135
eco speed advisor,5.0,75.676,15.135
eco speed advisor,6.0,90.811,15.135
eco speed advisor,7.0,105.946,15.135
eco speed advisor,8.0,121.081,15.135
eco speed advisor,9.0,136.216,15.135
eco speed advisor,10.0,151.351,15.135
eco speed advisor,11.0,166.486,15.135
eco speed advisor,12.0,181.622,15.135
eco speed advisor,13.0,196.757,15.135
eco speed advisor,14.0,211.892,15.135
eco speed advisor,15.0,227.027,15.135
eco speed advisor,16.0,242.162,15.135
eco speed advisor,17.0,257.297,15.135
eco speed advisor,18.0,272.432,15.166
eco speed advisor,19.0,287.63,15.229
eco speed advisor,20.0,302.89,15.26
eco speed advisor,21.0,318.15,15.26
eco speed advisor,22.0,333.41,15.26
eco speed advisor,23.0,348.671,15.26
eco speed advisor,24.0,363.931,15.26
eco speed advisor,25.0,379.191,15.26
eco speed advisor,26.0,394.451,15.26
eco speed advisor,27.0,409.711,15.26
eco speed advisor,28.0,424.971,15.26
eco speed advisor,29.0,440.231,15.26
eco speed advisor,30.0,455.491,15.26
eco speed advisor,31.0,470.751,15.26
eco speed advisor,32.0,486.012,15.26
eco speed advisor,33.0,501.272,15.26
eco speed advisor,34.0,516.532,15.26
eco speed advisor,35.0,531.792,15.26
eco speed advisor,36.0,547.052,15.26
eco speed advisor,37.0,562.312,15.26
eco speed advisor,38.0,577.572,15.26
eco speed advisor,39.0,592.832,15.26
eco speed advisor,40.0,608.092,15.26
eco speed advisor,41.0,623.353,15.26
eco speed advisor,42.0,638.613,15.26
eco speed advisor,43.0,653.873,15.26
eco speed advisor,44.0,669.133,15.26
eco speed advisor,45.0,684.393,15.26
eco speed advisor,46.0,699.653,15.26
eco speed advisor,47.0,714.913,15.26
eco speed advisor,48.0,730.173,15.26
eco speed advisor,49.0,745.434,15.26
eco speed advisor,50.0,760.694,15.26
eco speed advisor,51.0,775.954,15.26
eco speed advisor,52.0,791.214,15.26
eco speed advisor,53.0,806.474,15.26
eco speed advisor,54.0,821.734,15.26
eco speed advisor,55.0,836.994,15.26
eco speed advisor,56.0,852.254,15.26
eco speed advisor,57.0,867.514,15.26
eco speed advisor,58.0,882.775,15.26
eco speed advisor,59.0,898.035,15.26
eco speed advisor,60.0,913.295,15.26
eco speed advisor,61.0,928.555,15.257
eco speed advisor,62.0,943.81,15.246
eco speed advisor,63.0,959.048,15.238
eco speed advisor,64.0,974.286,15.238
eco speed advisor,65.0,989.524,15.238
eco speed advisor,66.0,1004.762,15.238
eco speed advisor,67.0,1020.0,15.238
eco speed advisor,68.0,1035.238,15.238
eco speed advisor,69.0,1050.476,15.238
eco speed advisor,70.0,1065.714,15.238
eco speed advisor,71.0,1080.952,15.238
eco speed advisor,72.0,1096.19,15.238
eco speed advisor,73.0,1111.429,15.238
eco speed advisor,74.0,1126.667,15.238
eco speed advisor,75.0,1141.905,15.238
eco speed advisor,76.0,1157.143,15.238
eco speed advisor,77.0,1172.381,15.238
eco speed advisor,78.0,1187.619,15.238
eco speed advisor,79.0,1202.857,15.238
eco speed advisor,80.0,1218.095,15.238
eco speed advisor,81.0,1233.333,15.238
eco speed advisor,82.0,1248.571,14.833
eco speed advisor,83.0,1263.0,13.214
eco speed advisor,84.0,1275.0,12.0
eco speed advisor,85.0,1287.0,12.0
eco speed advisor,86.0,1299.0,12.0
eco speed advisor,87.0,1311.0,12.0
eco speed advisor,88.0,1323.0,12.0
eco speed advisor,89.0,1335.0,12.0
eco speed advisor,90.0,1347.0,12.0
eco speed advisor,91.0,1359.0,12.0
eco speed advisor,92.0,1371.0,12.0
eco speed advisor,93.0,1383.0,12.0
eco speed advisor,94.0,1395.0,12.0
eco speed advisor,95.0,1407.0,12.0
eco speed advisor,96.0,1419.0,12.0
eco speed advisor,97.0,1431.0,12.0
eco speed advisor,98.0,1443.0,12.0
eco speed advisor,99.0,1455.0,12.0
eco speed advisor,100.0,1467.0,12.0
eco speed advisor,101.0,1479.0,12.0
eco speed advisor,102.0,1491.0,10.5
eco speed advisor,103.0,1500.0,9.0
fixed cruise baseline,0.0,0.0,12.0
fixed cruise baseline,1.0,12.0,12.0
fixed cruise baseline,2.0,24.0,12.0
fixed cruise baseline,3.0,36.0,12.0
fixed cruise baseline,4.0,48.0,12.0
fixed cruise baseline,5.0,60.0,12.0
fixed cruise baseline,6.0,72.0,12.0
