time_s,gap_error_car_2_m,gap_error_car_3_m,gap_error_car_4_m,gap_error_car_5_m
0.000000,0.000000,0.000000,-0.000000,0.000000
0.100000,0.000000,0.000000,-0.000000,0.000000
0.200000,0.000000,0.000000,-0.000000,0.000000
0.300000,0.000000,0.000000,-0.000000,0.000000
0.400000,0.000000,0.000000,-0.000000,0.000000
0.500000,0.000000,0.000000,-0.000000,0.000000
0.600000,0.000000,0.000000,-0.000000,0.000000
0.700000,0.000000,0.000000,-0.000000,0.000000
0.800000,0.000000,0.000000,-0.000000,0.000000
0.900000,0.000000,0.000000,-0.000000,0.000000
1.000000,0.000000,0.000000,-0.000000,0.000000
1.100000,0.000000,0.000000,-0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,0.000000
1.300000,0.000000,0.000000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000
1.700000,0.000000,0.000000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,0.000000
1.900000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.000000,0.000000,0.000000,0.000000
2.100000,-0.000000,0.000000,0.000000,0.000000
2.200000,-0.000000,0.000000,0.000000,0.000000
2.300000,-0.000000,0.000000,0.000000,0.000000
2.400000,-0.000000,0.000000,0.000000,0.000000
2.500000,-0.000000,0.000000,0.000000,0.000000
2.600000,-0.000000,0.000000,0.000000,0.000000
2.700000,-0.000000,0.000000,0.000000,0.000000
2.800000,-0.000000,0.000000,0.000000,0.000000
2.900000,-0.000000,0.000000,0.000000,0.000000
3.000000,-0.000000,0.000000,0.000000,0.000000
3.100000,-0.000000,0.000000,0.000000,0.000000
3.200000,-0.000000,0.000000,0.000000,0.000000
3.300000,-0.000000,0.000000,0.000000,0.000000
3.400000,-0.000000,0.000000,0.000000,0.000000
3.500000,-0.000000,0.000000,0.000000,0.000000
3.600000,-0.000000,0.000000,0.000000,0.000000
3.700000,-0.000000,0.000000,0.000000,0.000000
3.800000,-0.000000,0.000000,0.000000,0.000000
3.900000,-0.000000,0.000000,0.000000,0.000000
4.000000,-0.000000,0.000000,0.000000,0.000000
4.100000,-0.000000,0.000000,0.000000,0.000000
4.200000,-0.000000,0.000000,0.000000,0.000000
4.300000,-0.000000,0.000000,0.000000,0.000000
4.400000,-0.000000,0.000000,0.000000,0.000000
4.500000,-0.000000,-0.000000,0.000000,0.000000
4.600000,-0.000000,-0.000000,0.000000,0.000000
4.700000,-0.000000,-0.000000,0.000000,0.000000
4.800000,-0.000000,-0.000000,0.000000,0.000000
4.900000,-0.000000,-0.000000,0.000000,0.000000
5.000000,-0.000000,-0.000000,0.000000,0.000000
5.100000,-0.000000,-0.000000,0.000000,0.000000
5.200000,-0.000000,-0.000000,0.000000,0.000000
5.300000,-0.000000,-0.000000,0.000000,0.000000
5.400000,-0.000000,-0.000000,0.000000,0.000000
5.500000,-0.000000,-0.000000,0.000000,0.000000
5.600000,-0.000000,-0.000000,0.000000,0.000000
5.700000,-0.000000,-0.000000,0.000000,0.000000
5.800000,-0.000000,-0.000000,0.000000,0.000000
5.900000,-0.000000,-0.000000,0.000000,0.000000
6.000000,-0.000000,-0.000000,0.000000,0.000000
6.100000,-0.000000,-0.000000,-0.000000,0.000000
6.200000,-0.000000,-0.000000,-0.000000,0.000000
6.300000,-0.000000,-0.000000,-0.000000,0.000000
6.400000,-0.000000,-0.000000,-0.000000,0.000000
6.500000,-0.000000,-0.000000,0.000000,0.000000
6.600000,-0.000000,-0.000000,0.000000,0.000000
6.700000,-0.000000,-0.000000,0.000000,0.000000
6.800000,-0.000000,-0.000000,0.000000,0.000000
6.900000,-0.000000,-0.000000,0.000000,0.000000
7.000000,-0.000000,-0.000000,0.000000,0.000000
7.100000,-0.000000,-0.000000,0.000000,0.000000
7.200000,-0.000000,-0.000000,0.000000,0.000000
7.300000,-0.000000,-0.000000,0.000000,0.000000
7.400000,-0.000000,-0.000000,0.000000,0.000000
7.500000,-0.000000,-0.000000,0.000000,0.000000
7.600000,0.000000,-0.000000,0.000000,0.000000
7.700000,0.000000,-0.000000,0.000000,0.000000
7.800000,0.000000,-0.000000,0.000000,0.000000
7.900000,0.000000,-0.000000,-0.000000,0.000000
8.000000,0.000000,-0.000000,-0.000000,0.000000
8.100000,-0.007250,-0.000000,-0.000000,0.000000
8.200000,-0.019062,-0.000552,-0.000000,0.000000
8.300000,0.058976,0.086772,0.088698,0.088740
8.400000,0.134774,0.171640,0.175556,0.175742
8.500000,0.208366,0.254094,0.260560,0.261032
8.600000,0.279789,0.334176,0.343699,0.344632
8.700000,0.349081,0.411928,0.424965,0.426562
8.800000,0.416283,0.487391,0.504353,0.506837
8.900000,0.481434,0.560605,0.581859,0.585472
9.000000,0.544576,0.631610,0.657485,0.662478
9.100000,0.605752,0.700446,0.731232,0.737865
9.200000,0.665005,0.767153,0.803103,0.811641
9.300000,0.722378,0.831770,0.873105,0.883815
9.400000,0.777914,0.894337,0.941246,0.954393
9.500000,0.831658,0.954894,1.007535,1.023381
9.600000,0.883653,1.013481,1.071984,1.090785
9.700000,0.933943,1.070137,1.134605,1.156609
9.800000,0.982572,1.124902,1.195413,1.220859
9.900000,1.029583,1.177815,1.254424,1.283541
10.000000,1.075018,1.228918,1.311655,1.344659
10.100000,1.118921,1.278249,1.367124,1.404219
10.200000,1.161334,1.325848,1.420851,1.462227
10.300000,1.202298,1.371755,1.472857,1.518690
10.400000,1.241855,1.416010,1.523163,1.573615
10.500000,1.280044,1.458652,1.571792,1.627008
10.600000,1.316906,1.499721,1.618768,1.678879
10.700000,1.352480,1.539256,1.664115,1.729236
10.800000,1.386805,1.577296,1.707860,1.778089
10.900000,1.419918,1.613880,1.750028,1.825448
11.000000,1.451856,1.649046,1.790646,1.871325
11.100000,1.482655,1.682832,1.829741,1.915730
11.200000,1.512351,1.715277,1.867343,1.958678
11.300000,1.540979,1.746418,1.903478,2.000181
11.400000,1.568573,1.776293,1.938178,2.040253
11.500000,1.595166,1.804937,1.971470,2.078911
11.600000,1.620789,1.832386,2.003385,2.116170
11.700000,1.645476,1.858678,2.033952,2.152046
11.800000,1.669255,1.883847,2.063204,2.186557
11.900000,1.692159,1.907928,2.091169,2.219722
12.000000,1.714214,1.930954,2.117880,2.251558
12.100000,1.735451,1.952961,2.143366,2.282086
12.200000,1.755897,1.973980,2.167659,2.311326
12.300000,1.775578,1.994044,2.190790,2.339298
12.400000,1.794521,2.013185,2.212790,2.366024
12.500000,1.812751,2.031434,2.233689,2.391527
12.600000,1.830292,2.048822,2.253519,2.415828
12.700000,1.847170,2.065379,2.272310,2.438950
